"Incident_No","Date_Time_Of_Event","Dispatched_Time","Unit_On_The_Way_Time","Unit_On_Scene_TimeStamp","On_Scene_Unit","Cleared_TimeStamp","Unit_Count","Priority","Final_Incident_Type","Final_Incident_Category","Latitude","Longitude"
"F150039034","1/3/15 5:06 AM","","","","","","0","Priority 2","MEDICAL","Uncategorized","37.3721202492","-121.820646864"
"F150039035","1/3/15 5:06 AM","1/3/15 5:07 AM","1/3/15 5:09 AM","1/3/15 5:14 AM","E2","1/3/15 5:34 AM","1","Priority 2","MEDICAL","Medical Only","37.3721202492","-121.820646864"
"F150039036","1/3/15 5:06 AM","1/3/15 5:08 AM","1/3/15 5:10 AM","1/3/15 5:16 AM","E12","1/3/15 6:12 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.2314030428","-121.839080231"
"F150039037","1/3/15 5:06 AM","1/3/15 5:09 AM","1/3/15 5:11 AM","1/3/15 5:17 AM","E11","1/3/15 5:40 AM","2","Priority 1","FIRE & Other","Uncategorized","37.3001709215","-121.772176646"
"F150039038","1/3/15 5:11 AM","1/3/15 5:12 AM","1/3/15 5:14 AM","1/3/15 5:22 AM","T2","1/3/15 5:28 AM","1","Priority 1","MEDICAL","Medical Only","37.3574170794","-121.843787643"
"F150039039","1/3/15 5:31 AM","1/3/15 5:34 AM","1/3/15 5:36 AM","","","1/3/15 5:38 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.3323514389","-121.889270364"
"F150039040","1/3/15 5:34 AM","1/3/15 5:35 AM","1/3/15 5:37 AM","1/3/15 5:41 AM","E26","1/3/15 5:58 AM","1","Priority 1","MEDICAL","Medical Only","37.3034565607","-121.869969515"
"F150039041","1/3/15 5:49 AM","1/3/15 5:50 AM","1/3/15 5:51 AM","1/3/15 5:56 AM","E18","1/3/15 6:13 AM","1","Priority 1","MEDICAL","Medical Only","37.2651758145","-121.814299864"
"F150039042","1/3/15 5:56 AM","1/3/15 5:56 AM","1/3/15 5:58 AM","1/3/15 6:01 AM","E8","1/3/15 6:11 AM","1","Priority 1","MEDICAL","Medical Only","37.3379338225","-121.877554652"
"F150039043","1/3/15 6:36 AM","1/3/15 6:36 AM","1/3/15 6:38 AM","1/3/15 6:42 AM","E31","1/3/15 6:57 AM","1","Priority 1","MEDICAL","Medical Only","37.3266054144","-121.783092781"
"F150039044","1/3/15 6:48 AM","1/3/15 6:48 AM","1/3/15 6:50 AM","1/3/15 6:54 AM","T16","1/3/15 7:03 AM","1","Priority 2","MEDICAL","Uncategorized","37.3255217673","-121.832517047"
"F150039045","1/3/15 7:00 AM","1/3/15 7:01 AM","1/3/15 7:03 AM","1/3/15 7:08 AM","E16","1/3/15 7:29 AM","1","Priority 1","MEDICAL","Medical Only","37.3600300943","-121.851385703"
"F150039046","1/3/15 6:58 AM","1/3/15 7:01 AM","","","","1/3/15 7:03 AM","2","Priority 1","FIRE & Other","No Incident, Wrong Location, Cancelled En Route","37.3191441821","-121.830352231"
"F150039047","1/3/15 7:02 AM","1/3/15 7:05 AM","1/3/15 7:07 AM","1/3/15 7:12 AM","U34A","1/3/15 7:35 AM","2","Priority 1","MEDICAL","Medical Only","37.3758526636","-121.868016792"
"F150039048","1/3/15 7:10 AM","1/3/15 7:12 AM","","","","1/3/15 7:14 AM","2","Priority 1","FIRE & Other","Uncategorized","37.2314030428","-121.839080231"
"F150039050","1/3/15 7:28 AM","1/3/15 7:29 AM","1/3/15 7:30 AM","1/3/15 7:34 AM","E21","1/3/15 8:06 AM","2","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.3407376819","-121.820053768"
"F150039051","1/3/15 7:37 AM","1/3/15 7:39 AM","1/3/15 7:41 AM","1/3/15 7:47 AM","E12","1/3/15 7:59 AM","2","Priority 1","FIRE & Other","Uncategorized","37.2314030428","-121.839080231"
"F150039052","1/3/15 7:42 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3723794429","-121.813258204"
"F150039053","1/3/15 7:43 AM","1/3/15 7:43 AM","1/3/15 7:45 AM","1/3/15 7:51 AM","T2","1/3/15 8:01 AM","1","Priority 1","MEDICAL","Medical Only","37.3723794429","-121.813258204"
"F150039054","1/3/15 7:48 AM","1/3/15 7:49 AM","1/3/15 7:50 AM","1/3/15 7:57 AM","E31","1/3/15 8:06 AM","1","Priority 2","MEDICAL","Medical Only","37.3228008206","-121.801684564"
"F150039055","1/3/15 7:54 AM","1/3/15 7:54 AM","1/3/15 7:56 AM","1/3/15 8:06 AM","T14","1/3/15 8:12 AM","2","Priority 2","MEDICAL","Medical Only","37.2973385963","-121.958553291"
"F150039056","1/3/15 8:08 AM","1/3/15 8:09 AM","1/3/15 8:11 AM","1/3/15 8:14 AM","E8","1/3/15 8:33 AM","1","Priority 1","MEDICAL","Medical Only","37.3524183996","-121.887084437"
"F150039057","1/3/15 8:12 AM","1/3/15 8:13 AM","1/3/15 8:13 AM","1/3/15 8:15 AM","E21","1/3/15 8:36 AM","1","Priority 1","MEDICAL","Medical Only","37.3472160678","-121.801717261"
"F150039058","1/3/15 8:17 AM","1/3/15 8:17 AM","1/3/15 8:19 AM","","","1/3/15 8:25 AM","1","Priority 2","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2514396149","-121.820368708"
"F150039059","1/3/15 8:23 AM","1/3/15 8:24 AM","","","","1/3/15 8:26 AM","1","Priority 1","MEDICAL","Good Intent Or Service","37.2244540414","-121.878646543"
"F150039060","1/3/15 8:26 AM","1/3/15 8:27 AM","1/3/15 8:29 AM","1/3/15 8:33 AM","E15","1/3/15 9:45 AM","1","Priority 1","MEDICAL","Medical Only","37.3083532089","-121.998309081"
"F150039061","1/3/15 8:50 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3774378131","-121.815305976"
"F150039062","1/3/15 8:50 AM","1/3/15 8:50 AM","1/3/15 8:52 AM","1/3/15 8:56 AM","E2","1/3/15 9:11 AM","2","Priority 1","MEDICAL","Medical Only","37.3774378131","-121.815305976"
"F150039064","1/3/15 9:08 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3117920959","-122.015795505"
"F150039065","1/3/15 9:08 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3117920959","-122.015795505"
"F150039066","1/3/15 9:07 AM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3397984524","-121.921889242"
"F150039067","1/3/15 9:13 AM","1/3/15 9:15 AM","1/3/15 9:16 AM","1/3/15 9:22 AM","E8","1/3/15 9:34 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.3569085751","-121.87763886"
"F150039068","1/3/15 9:15 AM","1/3/15 9:15 AM","1/3/15 9:16 AM","1/3/15 9:22 AM","E31","1/3/15 9:35 AM","1","Priority 1","MEDICAL","Medical Only","37.3294991583","-121.794192312"
"F150039069","1/3/15 9:36 AM","1/3/15 9:37 AM","1/3/15 9:38 AM","1/3/15 9:43 AM","E4","1/3/15 10:00 AM","1","Priority 1","MEDICAL","Medical Only","37.3128886736","-121.908139376"
"F150039070","1/3/15 9:37 AM","1/3/15 9:38 AM","1/3/15 9:40 AM","1/3/15 9:46 AM","E17","1/3/15 10:02 AM","1","Priority 1","MEDICAL","Medical Only","37.2270718192","-121.905353376"
"F150039071","1/3/15 9:44 AM","1/3/15 9:46 AM","1/3/15 9:48 AM","1/3/15 9:52 AM","T2","1/3/15 9:54 AM","1","Priority 2","FIRE & Other","False Alarm / False Call","37.3629279793","-121.8398437"
"F150039072","1/3/15 9:49 AM","1/3/15 9:50 AM","1/3/15 9:52 AM","1/3/15 10:00 AM","E5","1/3/15 10:07 AM","1","Priority 2","MEDICAL","Medical Only","37.4002372731","-121.90680276"
"F150039073","1/3/15 9:58 AM","1/3/15 9:58 AM","1/3/15 9:59 AM","1/3/15 10:03 AM","E6","1/3/15 10:25 AM","1","Priority 1","MEDICAL","Medical Only","37.2918266579","-121.908488179"
"F150039201","1/3/15 8:04 PM","1/3/15 8:04 PM","1/3/15 8:05 PM","1/3/15 8:09 PM","E3","1/3/15 8:29 PM","1","Priority 1","MEDICAL","Medical Only","37.3173082676","-121.878500864"
"F150039202","1/3/15 8:04 PM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.4215729716","-121.975426923"
"F150039203","1/3/15 8:19 PM","1/3/15 8:20 PM","1/3/15 8:21 PM","","","1/3/15 8:23 PM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2756566153","-121.849276116"
"F150039204","1/3/15 8:28 PM","1/3/15 8:29 PM","1/3/15 8:30 PM","1/3/15 8:32 PM","E22","1/3/15 8:48 PM","1","Priority 1","MEDICAL","Medical Only","37.2223788526","-121.862794868"
"F150039205","1/3/15 8:35 PM","1/3/15 8:36 PM","1/3/15 8:37 PM","1/3/15 8:45 PM","E5","1/3/15 9:01 PM","1","Priority 2","MEDICAL","Medical Only","37.393215904","-121.901483621"
"F150039206","1/3/15 8:41 PM","1/3/15 8:44 PM","1/3/15 8:46 PM","","","1/3/15 8:49 PM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.3967486273","-121.902191836"
"F150039207","1/3/15 8:57 PM","1/3/15 8:57 PM","1/3/15 8:58 PM","1/3/15 8:57 PM","E22","1/3/15 9:14 PM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.2420187288","-121.849623868"
"F150039208","1/3/15 9:03 PM","1/3/15 9:03 PM","1/3/15 9:05 PM","1/3/15 9:07 PM","E8","1/3/15 9:19 PM","1","Priority 1","MEDICAL","Medical Only","37.3379338225","-121.877554652"
"F150039075","1/3/15 10:16 AM","1/3/15 10:16 AM","1/3/15 10:17 AM","1/3/15 10:24 AM","T1","1/3/15 10:47 AM","2","Priority 1","MEDICAL","Medical Only","37.3529343068","-121.879885341"
"F150039076","1/3/15 10:26 AM","","","","","","0","Priority 2","FIRE & Other","Uncategorized","37.3674363173","-121.838392109"
"F150039077","1/3/15 10:30 AM","1/3/15 10:34 AM","1/3/15 10:36 AM","1/3/15 10:40 AM","S18","1/3/15 10:53 AM","1","Priority 1","MEDICAL","Medical Only","37.2934206394","-121.833214117"
"F150039078","1/3/15 10:39 AM","1/3/15 10:40 AM","1/3/15 10:41 AM","1/3/15 10:43 AM","E9","1/3/15 10:49 AM","1","Priority 2","MEDICAL","Good Intent Or Service","37.2446781743","-121.930852832"
"F150039079","1/3/15 10:40 AM","1/3/15 10:41 AM","1/3/15 10:44 AM","","","1/3/15 10:53 AM","1","Priority 1","MEDICAL","Medical Only","37.3171475431","-121.931679143"
"F150039080","1/3/15 10:41 AM","1/3/15 10:42 AM","1/3/15 10:44 AM","1/3/15 10:47 AM","E24","1/3/15 11:03 AM","1","Priority 1","MEDICAL","Medical Only","37.2956365937","-121.808516778"
"F150039081","1/3/15 10:48 AM","1/3/15 10:49 AM","1/3/15 10:50 AM","1/3/15 10:52 AM","E9","1/3/15 11:08 AM","2","Priority 2","MEDICAL","Medical Only","37.2478400366","-121.924002445"
"F150039082","1/3/15 10:52 AM","1/3/15 10:53 AM","1/3/15 10:53 AM","1/3/15 10:59 AM","T30","1/3/15 11:01 AM","2","Priority 1","MEDICAL","Medical Only","37.3171475431","-121.931679143"
"F150039083","1/3/15 10:56 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3758551565","-121.821144239"
"F150039084","1/3/15 10:56 AM","1/3/15 10:56 AM","1/3/15 10:58 AM","1/3/15 11:02 AM","T2","1/3/15 11:12 AM","2","Priority 1","MEDICAL","Medical Only","37.3758551565","-121.821144239"
"F150039085","1/3/15 10:57 AM","1/3/15 10:57 AM","1/3/15 10:59 AM","1/3/15 11:08 AM","E1","1/3/15 11:23 AM","1","Priority 1","MEDICAL","Medical Only","37.3495541052","-121.874850315"
"F150039086","1/3/15 11:02 AM","1/3/15 11:02 AM","1/3/15 11:03 AM","1/3/15 11:07 AM","E22","1/3/15 11:35 AM","1","Priority 1","MEDICAL","Medical Only","37.2159425682","-121.857956029"
"F150039088","1/3/15 11:08 AM","1/3/15 11:09 AM","1/3/15 11:10 AM","1/3/15 11:14 AM","E26","1/3/15 11:23 AM","2","Priority 1","MEDICAL","Medical Only","37.292728847","-121.850519386"
"F150039089","1/3/15 11:17 AM","1/3/15 11:18 AM","1/3/15 11:19 AM","1/3/15 11:22 AM","E7","1/3/15 12:09 PM","1","Priority 1","MEDICAL","Medical Only","37.3417187128","-121.919112288"
"F150039090","1/3/15 11:19 AM","1/3/15 11:22 AM","1/3/15 11:24 AM","1/3/15 11:29 AM","T2","1/3/15 11:46 AM","3","Priority 1","FIRE & Other","False Alarm / False Call","37.372258641","-121.847013197"
"F150039091","1/3/15 11:32 AM","1/3/15 11:34 AM","1/3/15 11:36 AM","1/3/15 11:41 AM","E17","1/3/15 12:04 PM","6","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.2592714611","-121.899864663"
"F150039092","1/3/15 11:33 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2601552495","-121.897617637"
"F150039093","1/3/15 11:34 AM","1/3/15 11:35 AM","1/3/15 11:38 AM","1/3/15 11:40 AM","E6","1/3/15 11:49 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.2909217587","-121.892109275"
"F150039094","1/3/15 11:36 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3757349061","-121.803769594"
"F150039095","1/3/15 11:36 AM","1/3/15 11:36 AM","1/3/15 11:38 AM","1/3/15 11:47 AM","E2","1/3/15 12:12 PM","2","Priority 1","MEDICAL","Medical Only","37.3757349061","-121.803769594"
"F150039096","1/3/15 11:39 AM","1/3/15 11:41 AM","1/3/15 11:43 AM","1/3/15 11:49 AM","E18","1/3/15 11:59 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.2631690543","-121.824203055"
"F150039097","1/3/15 11:41 AM","1/3/15 11:42 AM","1/3/15 11:43 AM","1/3/15 11:56 AM","E11","1/3/15 12:20 PM","1","Priority 2","MEDICAL","Medical Only","37.2913591059","-121.749064852"
"F150039098","1/3/15 11:47 AM","1/3/15 11:49 AM","1/3/15 11:50 AM","1/3/15 11:56 AM","U34B","1/3/15 12:03 PM","3","Priority 1","MEDICAL","Medical Only","37.3582491782","-121.850943504"
"F150039099","1/3/15 11:53 AM","1/3/15 11:53 AM","1/3/15 11:54 AM","1/3/15 11:54 AM","E22","1/3/15 11:58 AM","1","Priority 1","MEDICAL","Good Intent Or Service","37.2216456135","-121.862267887"
"F150039100","1/3/15 11:57 AM","1/3/15 11:58 AM","1/3/15 11:59 AM","1/3/15 12:05 PM","E12","1/3/15 12:14 PM","1","Priority 1","MEDICAL","Medical Only","37.2314030428","-121.839080231"
"F150039101","1/3/15 12:09 PM","1/3/15 12:11 PM","1/3/15 12:13 PM","1/3/15 12:16 PM","E21","1/3/15 12:29 PM","1","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.3478889118","-121.811629421"
"F150039103","1/3/15 12:11 PM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2385559008","-121.950816177"
"F150039104","1/3/15 12:34 PM","1/3/15 12:35 PM","1/3/15 12:37 PM","1/3/15 12:43 PM","T13","1/3/15 1:00 PM","2","Priority 2","MEDICAL","Medical Only","37.2578061563","-121.882933616"
"F150039105","1/3/15 12:37 PM","1/3/15 12:40 PM","1/3/15 12:41 PM","1/3/15 12:45 PM","E4","1/3/15 12:54 PM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.3076854055","-121.930627192"
"F150039106","1/3/15 12:49 PM","1/3/15 12:51 PM","1/3/15 12:53 PM","1/3/15 12:59 PM","E31","1/3/15 1:09 PM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.3308455286","-121.765649831"
"F150039107","1/3/15 1:02 PM","1/3/15 1:02 PM","1/3/15 1:03 PM","1/3/15 1:07 PM","T16","1/3/15 1:18 PM","1","Priority 1","MEDICAL","Medical Only","37.3404931329","-121.839213098"
"F150039108","1/3/15 1:05 PM","1/3/15 1:05 PM","1/3/15 1:06 PM","1/3/15 1:11 PM","T13","1/3/15 1:19 PM","2","Priority 1","MEDICAL","Good Intent Or Service","37.2826844397","-121.865743604"
"F150039109","1/3/15 1:05 PM","1/3/15 1:07 PM","1/3/15 1:08 PM","1/3/15 1:12 PM","E14","1/3/15 1:26 PM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.2899902238","-121.989350381"
"F150039110","1/3/15 1:07 PM","1/3/15 1:08 PM","1/3/15 1:10 PM","1/3/15 1:13 PM","S18","1/3/15 1:15 PM","1","Priority 1","MEDICAL","Good Intent Or Service","37.3003951177","-121.820916495"
"F150039111","1/3/15 1:16 PM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3440416381","-121.864846238"
"F150039112","1/3/15 1:17 PM","1/3/15 1:19 PM","1/3/15 1:21 PM","1/3/15 1:25 PM","E15","1/3/15 1:35 PM","1","Priority 1","MEDICAL","Medical Only","37.3102049756","-122.034680641"
"F150039113","1/3/15 1:18 PM","1/3/15 1:20 PM","1/3/15 1:22 PM","1/3/15 1:25 PM","E2","1/3/15 1:41 PM","2","Priority 1","MEDICAL","Medical Only","37.3542560472","-121.821931161"
"F150039114","1/3/15 1:18 PM","1/3/15 1:20 PM","1/3/15 1:22 PM","1/3/15 1:25 PM","E27","1/3/15 1:32 PM","2","Priority 1","FIRE & Other","Other Fires","37.2229788129","-121.7850034"
"F150039115","1/3/15 1:24 PM","1/3/15 1:24 PM","1/3/15 1:26 PM","1/3/15 1:31 PM","E5","1/3/15 1:47 PM","2","Priority 1","MEDICAL","Medical Only","37.3711607956","-121.930724114"
"F150039116","1/3/15 1:27 PM","1/3/15 1:28 PM","1/3/15 1:29 PM","1/3/15 1:33 PM","T30","1/3/15 2:22 PM","2","Priority 1","MEDICAL","Medical Only","37.3146910927","-121.895660048"
"F150039117","1/3/15 1:36 PM","1/3/15 1:37 PM","1/3/15 1:38 PM","1/3/15 1:40 PM","E12","1/3/15 1:54 PM","1","Priority 2","MEDICAL","Medical Only","37.2463235517","-121.847066673"
"F150039118","1/3/15 1:43 PM","1/3/15 1:43 PM","1/3/15 1:45 PM","1/3/15 1:48 PM","E22","1/3/15 2:05 PM","1","Priority 1","MEDICAL","Medical Only","37.2130492055","-121.8568597"
"F150039119","1/3/15 1:59 PM","1/3/15 1:59 PM","1/3/15 2:01 PM","1/3/15 2:07 PM","E18","1/3/15 3:03 PM","1","Priority 1","MEDICAL","Medical Only","37.2740360606","-121.806466978"
"F150039120","1/3/15 1:58 PM","1/3/15 2:00 PM","1/3/15 2:01 PM","1/3/15 2:04 PM","T16","1/3/15 2:08 PM","1","Priority 1","MEDICAL","Good Intent Or Service","37.3208567436","-121.818775215"
"F150039121","1/3/15 1:59 PM","1/3/15 2:01 PM","1/3/15 2:03 PM","","","1/3/15 2:04 PM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2180014862","-121.882377629"
"F150039122","1/3/15 2:03 PM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2742056958","-121.805248116"
"F150039123","1/3/15 2:03 PM","1/3/15 2:04 PM","1/3/15 2:06 PM","1/3/15 2:10 PM","E2","1/3/15 2:12 PM","2","Priority 1","MEDICAL","Good Intent Or Service","37.375109756","-121.835608523"
"F150039124","1/3/15 2:05 PM","1/3/15 2:05 PM","1/3/15 2:06 PM","1/3/15 2:10 PM","E6","1/3/15 2:21 PM","1","Priority 2","MEDICAL","Medical Only","37.3057018266","-121.88951054"
"F150039125","1/3/15 2:07 PM","1/3/15 2:08 PM","1/3/15 2:09 PM","1/3/15 2:12 PM","E1","1/3/15 2:20 PM","1","Priority 1","MEDICAL","Medical Only","37.3442956515","-121.892345117"
"F150039126","1/3/15 2:08 PM","1/3/15 2:09 PM","1/3/15 2:10 PM","1/3/15 2:14 PM","E4","1/3/15 2:25 PM","1","Priority 1","MEDICAL","Good Intent Or Service","37.3128886736","-121.908139376"
"F150039127","1/3/15 2:09 PM","1/3/15 2:10 PM","1/3/15 2:11 PM","1/3/15 2:15 PM","E2","1/3/15 2:31 PM","2","Priority 1","MEDICAL","Medical Only","37.3731929556","-121.846742323"
"F150039128","1/3/15 2:12 PM","1/3/15 2:14 PM","1/3/15 2:14 PM","1/3/15 2:18 PM","T16","1/3/15 3:14 PM","1","Priority 1","MEDICAL","Medical Only","37.3253121258","-121.836336755"
"F150039129","1/3/15 2:16 PM","1/3/15 2:18 PM","1/3/15 2:20 PM","1/3/15 2:25 PM","E3","1/3/15 2:40 PM","6","Priority 2","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.3264686271","-121.899139822"
"F150039130","1/3/15 2:23 PM","1/3/15 2:24 PM","1/3/15 2:26 PM","1/3/15 2:32 PM","S26","1/3/15 3:00 PM","1","Priority 1","MEDICAL","Uncategorized","37.2901692115","-121.876740352"
"F150039131","1/3/15 2:40 PM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2940616703","-121.93811521"
"F150039132","1/3/15 2:51 PM","1/3/15 2:52 PM","1/3/15 2:53 PM","1/3/15 2:57 PM","E19","1/3/15 3:14 PM","2","Priority 2","MEDICAL","Medical Only","37.3872143693","-121.846857314"
"F150039133","1/3/15 2:52 PM","1/3/15 2:53 PM","1/3/15 2:54 PM","1/3/15 2:57 PM","E1","1/3/15 3:09 PM","1","Priority 1","MEDICAL","Medical Only","37.3386705252","-121.889580009"
"F150039134","1/3/15 3:00 PM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3509693548","-121.908342957"
"F150039135","1/3/15 3:07 PM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.302053229","-121.788209913"
"F150039136","1/3/15 3:07 PM","1/3/15 3:07 PM","1/3/15 3:09 PM","","","1/3/15 3:12 PM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.302053229","-121.788209913"
"F150039137","1/3/15 3:17 PM","1/3/15 3:17 PM","1/3/15 3:19 PM","1/3/15 3:23 PM","E21","1/3/15 3:33 PM","1","Priority 1","MEDICAL","Medical Only","37.3304491167","-121.79889446"
"F150039138","1/3/15 3:18 PM","1/3/15 3:18 PM","1/3/15 3:20 PM","1/3/15 3:22 PM","E1","1/3/15 3:37 PM","1","Priority 1","MEDICAL","Medical Only","37.3371730053","-121.888463451"
"F150039139","1/3/15 3:24 PM","1/3/15 3:24 PM","1/3/15 3:27 PM","1/3/15 3:39 PM","T2","1/3/15 4:04 PM","2","Priority 2","MEDICAL","Medical Only","37.3685880544","-121.806859416"
"F150039140","1/3/15 3:26 PM","1/3/15 3:27 PM","1/3/15 3:29 PM","1/3/15 3:40 PM","T13","1/3/15 3:44 PM","2","Priority 2","FIRE & Other","Good Intent Or Service","37.284443876","-121.832510333"
"F150039141","1/3/15 3:30 PM","1/3/15 3:31 PM","1/3/15 3:33 PM","1/3/15 3:37 PM","E23","1/3/15 3:51 PM","1","Priority 1","MEDICAL","Medical Only","37.3879717822","-121.882559413"
"F150039145","1/3/15 3:40 PM","1/3/15 3:40 PM","1/3/15 3:40 PM","1/3/15 3:45 PM","E21","1/3/15 4:00 PM","1","Priority 1","MEDICAL","Medical Only","37.3296779753","-121.803428432"
"F150039147","1/3/15 3:40 PM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3192603318","-122.054483624"
"F150039148","1/3/15 3:44 PM","","","","","","0","Priority 2","MEDICAL","Uncategorized","37.2590452911","-121.859530577"
"F150039149","1/3/15 3:45 PM","1/3/15 3:45 PM","1/3/15 3:47 PM","1/3/15 3:53 PM","E13","1/3/15 4:03 PM","1","Priority 2","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2590452911","-121.859530577"
"F150039150","1/3/15 3:43 PM","1/3/15 3:46 PM","1/3/15 3:47 PM","1/3/15 3:58 PM","E23","1/3/15 4:19 PM","3","Priority 1","FIRE & Other","False Alarm / False Call","37.4149894479","-121.871126172"
"F150039151","1/3/15 3:59 PM","1/3/15 3:59 PM","1/3/15 4:00 PM","1/3/15 4:04 PM","T30","1/3/15 4:33 PM","2","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.3232956097","-121.89925882"
"F150039152","1/3/15 3:58 PM","1/3/15 4:00 PM","1/3/15 4:02 PM","","","1/3/15 4:06 PM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.3563515407","-121.835887405"
"F150039153","1/3/15 4:05 PM","1/3/15 4:10 PM","1/3/15 4:11 PM","1/3/15 4:15 PM","E28","1/3/15 4:56 PM","2","Priority 2","MEDICAL","Medical Only","37.1951978797","-121.836154072"
"F150039154","1/3/15 4:09 PM","1/3/15 4:10 PM","1/3/15 4:11 PM","1/3/15 4:13 PM","E8","1/3/15 4:33 PM","1","Priority 1","MEDICAL","Medical Only","37.3432915026","-121.869722168"
"F150039155","1/3/15 4:21 PM","1/3/15 4:24 PM","1/3/15 4:24 PM","1/3/15 4:35 PM","T2","1/3/15 4:40 PM","1","Priority 2","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.3649747027","-121.820806288"
"F150039156","1/3/15 4:30 PM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3522400004","-121.905678267"
"F150039157","1/3/15 4:39 PM","1/3/15 4:42 PM","1/3/15 4:45 PM","1/3/15 4:48 PM","T9","1/3/15 4:54 PM","2","Priority 1","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.2534212167","-121.909646016"
"F150039158","1/3/15 4:47 PM","1/3/15 4:47 PM","1/3/15 4:49 PM","1/3/15 4:53 PM","E26","1/3/15 5:04 PM","2","Priority 1","MEDICAL","Medical Only","37.3034565607","-121.869969515"
"F150039159","1/3/15 4:56 PM","1/3/15 4:57 PM","1/3/15 4:58 PM","1/3/15 5:02 PM","E24","1/3/15 5:51 PM","2","Priority 1","MEDICAL","Medical Only","37.2943667998","-121.819054414"
"F150039160","1/3/15 5:02 PM","1/3/15 5:05 PM","1/3/15 5:06 PM","1/3/15 5:09 PM","E29","1/3/15 5:18 PM","2","Priority 1","FIRE & Other","False Alarm / False Call","37.3997111262","-121.927690166"
"F150039161","1/3/15 5:03 PM","1/3/15 5:05 PM","1/3/15 5:07 PM","1/3/15 5:12 PM","E7","1/3/15 5:13 PM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.3462923371","-121.915145898"
"F150039162","1/3/15 5:06 PM","1/3/15 5:07 PM","1/3/15 5:09 PM","1/3/15 5:11 PM","E11","1/3/15 5:37 PM","1","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.2934117512","-121.753903574"
"F150039163","1/3/15 5:12 PM","1/3/15 5:12 PM","1/3/15 5:13 PM","","","1/3/15 5:18 PM","2","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.3577229374","-121.846958447"
"F150039164","1/3/15 5:22 PM","1/3/15 5:23 PM","1/3/15 5:24 PM","","","1/3/15 5:27 PM","2","Priority 1","MEDICAL","Medical Only","37.278005551","-121.880039066"
"F150039165","1/3/15 5:26 PM","1/3/15 5:27 PM","1/3/15 5:28 PM","1/3/15 5:31 PM","T1","1/3/15 5:38 PM","2","Priority 1","MEDICAL","Medical Only","37.3431075856","-121.898841445"
"F150039166","1/3/15 5:27 PM","1/3/15 5:28 PM","1/3/15 5:28 PM","1/3/15 5:33 PM","E21","1/3/15 5:52 PM","2","Priority 1","MEDICAL","Uncategorized","37.3429880788","-121.801226877"
"F150039167","1/3/15 5:31 PM","1/3/15 5:32 PM","1/3/15 5:33 PM","1/3/15 5:37 PM","E22","1/3/15 5:57 PM","1","Priority 1","MEDICAL","Medical Only","37.2254529635","-121.886075645"
